date,time,entry,sl,tgt_1_3,risk_pts,1m_bb_pct_b,1m_bb_width,1m_bb_lbr,1m_ema9_vs_21,1m_ema21_vs_50,1m_close_vs_ema9,1m_close_vs_ema21,1m_ema9_slope,1m_rsi14,1m_stoch_k,1m_will_r,1m_mom10,1m_adx,1m_plus_di,1m_minus_di,1m_body_ratio,1m_lwr_ratio,1m_is_bull,1m_range_vs_atr,1m_close_pos,1m_hh_hl,1m_ret1,1m_ret3,1m_ret5,1m_d5l,1m_d5h,1m_d20l,1m_d20h,1m_atr14,1m_atr_exp,1m_vol5,1m_effort,5m_ema9_vs_ema21,5m_ema21_vs_ema50,5m_close_vs_ema9,5m_ema9_slope,5m_bb_pct_b,5m_bb_width,5m_bb_lower_breach_atr,5m_rsi14,5m_stoch_k,5m_will_r,5m_is_bullish,5m_body_ratio,5m_lower_wick_ratio,5m_range_vs_atr,5m_close_pos,5m_signal_active,5m_dist_to_prev_high_atr,5m_dist_to_prev_low_atr,5m_room_to_tgt3,15m_ema9_vs_ema21,15m_ema21_vs_ema50,15m_close_vs_ema9,15m_ema9_slope,15m_bb_pct_b,15m_bb_width,15m_bb_lower_breach_atr,15m_rsi14,15m_stoch_k,15m_will_r,15m_is_bullish,15m_body_ratio,15m_lower_wick_ratio,15m_range_vs_atr,15m_close_pos,15m_signal_active,15m_dist_to_prev_high_atr,15m_dist_to_prev_low_atr,15m_room_to_tgt3,1h_ema9_vs_ema21,1h_ema21_vs_ema50,1h_close_vs_ema9,1h_ema9_slope,1h_bb_pct_b,1h_bb_width,1h_bb_lower_breach_atr,1h_rsi14,1h_stoch_k,1h_will_r,1h_is_bullish,1h_body_ratio,1h_lower_wick_ratio,1h_range_vs_atr,1h_close_pos,1h_signal_active,1h_dist_to_prev_high_atr,1h_dist_to_prev_low_atr,1h_room_to_tgt3,tf_conf,tr_align,5m15m_both,15m1h_both,all3tf_sig,all3tf_up,price_vs_open_atr,price_vs_open_pct,open30_dir,open30_rng_atr,day_range_so_far,mins_open,mins_close,session,post_pattern,post_A_clean,post_A_delay,post_B_wick,post_C_coil,bars_to_ema9,consec_above_ema9,broke_sl,broke_sl_recovered,max_dd_atr,n_small_candles,range_compress,breakout_bar,breakout_str,pts5bars_atr,label
2021-10-01,10:38:00,17508.9,17500.7,17533.5,8.2,0.3052,0.0018,0.1374,-0.6807,4.5829,0.1511,-0.5296,-4.1778,48.1435,38.1093,-61.8907,-5.0,22.2982,23.2054,27.3385,0.908,0.0345,1,1.0282,0.9425,0,0.0489,0.0383,-0.0308,1.5246,-0.9751,1.5246,-2.8188,8.461,0,0.0352,1.0235,5.1504,0.0,8.1026,7.1884,0.6913,0.0041,1.0451,63.2175,79.9624,-20.0376,1,0.2534,0.5432,0.9477,0.7965,0,1.5542,1.5246,0,0.0,0.0,9.5768,6.5059,0.6982,0.0036,0.4756,68.7263,78.3493,-21.6507,0,0.1943,0.7986,0.6218,0.7986,0,1.7906,1.5246,0,0.0,0.0,20.5667,41.1333,0.75,0.007,0.3202,100.0,96.8849,-3.1151,1,0.8598,0.0988,0.9459,0.9587,0,4.5739,3.8589,1,0,1,0,0,0,0,-2.7184,-0.1312,0,9.1301,6.6186,83,291,1,A_clean,1,0,0,0,1,3,0,0,0.0,4,1.0673,8,2.9725,1.7906,1
2021-10-01,11:13:00,17527.9,17521.7,17546.5,6.2,0.317,0.0021,0.7657,-3.1653,4.6656,0.9882,-2.1771,-2.8425,47.7106,38.2542,-61.7458,-6.15,40.3365,19.4194,30.0987,0.6889,0.2296,1,0.9278,0.9185,1,0.0271,0.0454,0.0188,2.048,-0.0756,2.048,-3.3056,7.2755,0,0.0239,0.9643,10.1926,1.9293,1.1685,0.8294,0.6738,0.005,2.0305,56.4892,68.0808,-31.9192,1,0.5406,0.4125,0.7364,0.9531,0,0.1512,2.048,0,0.0,0.0,9.4787,13.8771,0.6892,0.0044,0.8642,63.1211,76.0727,-23.9273,0,0.4236,0.3915,0.8809,0.3915,0,3.3056,2.048,1,0.0,0.0,-16.65,14.2,0.313,0.0068,0.3961,49.0266,27.8647,-72.1353,0,0.8253,0.0822,1.0024,0.0822,0,3.3056,7.3947,1,0,1,0,0,0,0,-0.5498,-0.0228,0,10.6179,10.3086,118,256,2,B_wick_recover,0,0,1,0,1,1,1,1,0.2886,5,0.558,0,0.0,0.1512,0
2021-10-01,11:30:00,17515.9,17508.95,17536.75,6.95,0.3309,0.0017,0.5053,-5.2142,-2.2508,0.8796,-4.3346,-2.5522,46.4868,45.8589,-54.1411,-11.4,35.4078,25.0772,35.6486,0.7547,0.1195,1,1.2572,0.8742,1,0.0357,0.0537,-0.0023,2.3642,-0.1581,2.3642,-2.7912,6.3235,1,0.036,1.2412,5.0101,2.9096,-12.3361,-5.0954,0.4474,0.005,1.5195,43.067,24.3968,-75.6032,0,0.4671,0.3946,1.1097,0.3946,0,1.1228,2.3642,0,0.0,0.0,-6.4196,8.4438,0.4524,0.0042,0.5667,50.6405,57.2943,-42.7057,0,0.5767,0.2669,0.7551,0.2669,0,2.7912,2.3642,0,0.0,0.0,-16.65,14.2,0.313,0.0068,0.3961,49.0266,27.8647,-72.1353,0,0.8253,0.0822,1.0024,0.0822,0,5.7009,6.6102,1,0,1,0,0,0,0,-2.5302,-0.0913,0,12.2163,9.9628,135,239,2,B_wick_recover,0,0,1,0,1,3,1,1,1.3837,0,1.0516,7,2.886,1.5972,0
2021-10-01,11:37:00,17518.45,17500.2,17573.2,18.25,0.5037,0.0018,-0.2445,-3.0413,-2.8211,3.2936,0.2523,-2.6421,52.683,67.3432,-32.6568,11.95,26.1778,20.6713,31.869,0.9041,0.0959,1,2.1475,1.0,0,0.084,0.0228,-0.0337,2.1475,-0.8649,2.1475,-1.7769,8.4981,1,0.0547,2.3443,3.1937,3.2941,-1.4631,-4.957,0.4982,0.0036,0.6718,50.7562,40.4826,-59.5174,1,0.2155,0.6487,1.0815,0.8642,0,0.3648,2.1475,0,0.348,0.0,-6.6157,-0.6149,0.4312,0.004,0.5463,51.3795,55.4266,-44.5734,0,0.0814,0.2946,0.626,0.2946,0,0.8884,2.1475,0,0.0,0.0,-16.65,14.2,0.313,0.0068,0.3961,49.0266,27.8647,-72.1353,0,0.8253,0.0822,1.0024,0.0822,0,3.9421,5.2188,0,0,2,0,0,0,0,-1.5827,-0.0767,0,9.0903,7.7135,142,232,2,D_sl_hit,0,0,0,0,1,4,1,0,0.1471,4,0.6649,0,0.0,0.3648,0
2021-10-01,12:07:00,17478.25,17457.4,17540.8,20.85,0.5323,0.0019,-0.3159,-8.2854,-14.821,6.8784,-1.407,-2.8003,54.4192,61.0542,-38.9458,-3.1,37.8023,29.3502,25.0186,0.7988,0.0575,1,2.7698,0.8563,0,0.1117,0.0581,0.0555,2.3717,-0.3981,2.3717,-2.4229,8.7912,1,0.0612,2.8446,-10.7616,-1.2256,-10.7936,-14.1627,0.1356,0.005,-0.5814,37.0351,24.4315,-75.5685,1,0.5031,0.4456,1.2668,0.9487,0,0.3981,2.3717,0,-2.1264,0.0,-26.426,-15.0436,0.1105,0.0047,-0.201,38.3344,21.9081,-78.0919,0,0.2281,0.6277,0.6819,0.6277,0,0.7451,2.3717,0,0.0,0.0,0.7032,14.2968,0.4655,0.0059,0.1163,65.4705,45.4821,-54.5179,1,0.3991,0.5473,0.6679,0.9463,0,2.5025,2.3717,0,0,0,0,0,0,0,-6.1027,-0.306,0,8.7872,2.8836,172,202,2,A_slight_delay,0,1,0,0,2,0,0,0,0.0,3,0.7724,2,1.2968,0.4379,1
2021-10-01,12:43:00,17470.75,17466.55,17483.35,4.2,0.3567,0.0016,0.8669,-3.7532,-6.506,0.6824,-3.0708,-2.3089,47.2646,35.2649,-64.7351,-9.6,21.1247,28.3947,30.1762,0.6412,0.0,1,0.998,0.6412,1,0.0283,0.0243,-0.008,1.6227,-0.4266,1.6227,-2.9788,6.563,0,0.019,1.0782,-10.7233,-5.8333,-7.1445,-6.3752,0.2279,0.0047,0.4111,38.1973,22.3694,-77.6306,1,0.2154,0.6808,0.7681,0.8962,0,0.3581,1.6227,0,-4.926,0.0,-20.7287,-15.1539,0.1445,0.005,0.0231,41.8744,19.0308,-80.9692,0,0.4056,0.3858,0.7642,0.3858,0,2.9788,1.6227,1,0.0,0.0,0.7032,14.2968,0.4655,0.0059,0.1163,65.4705,45.4821,-54.5179,1,0.3991,0.5473,0.6679,0.9463,0,4.4949,2.0341,1,0,0,0,0,0,0,-9.3174,-0.3488,0,11.7705,2.7198,208,166,2,B_wick_recover,0,0,1,0,1,3,1,1,0.1676,2,0.9279,5,1.577,0.7999,0
2021-10-01,13:45:00,17495.15,17488.75,17514.35,6.4,0.3323,0.002,0.7957,-3.8047,0.5447,1.2581,-2.5467,-1.1665,48.4597,38.4731,-61.5269,-10.2,31.0988,16.3958,28.5039,0.8828,0.1172,1,0.9379,1.0,1,0.03,0.0478,0.0234,1.8831,0.0,1.8831,-3.0115,6.8238,0,0.028,0.9209,1.7699,-1.1331,-7.2259,-0.2778,0.5155,0.003,1.2175,44.149,49.1344,-50.8656,0,0.1271,0.5084,0.9464,0.5084,0,0.3077,1.8831,0,-3.2154,0.0,-6.3141,2.6412,0.3448,0.0044,0.5357,48.7965,34.3733,-65.6267,0,0.476,0.2275,0.9314,0.2275,0,3.0115,1.8831,1,0.0,0.0,1.1025,-6.4191,0.4713,0.0053,0.4815,70.0636,45.7345,-54.2655,1,0.0117,0.4018,0.6695,0.4135,0,3.7516,1.8831,1,0,1,0,0,0,0,-5.3855,-0.2096,0,11.3206,6.1915,270,104,3,D_sl_hit,0,0,0,0,1,2,1,0,0.4103,2,0.7752,4,1.4654,1.165,0
2021-10-04,10:39:00,17727.15,17711.9,17772.9,15.25,0.6652,0.0013,0.0707,1.0046,13.7311,5.5599,6.5645,-2.2695,58.8036,67.6724,-32.3276,3.15,30.2159,35.8339,26.3275,0.9279,0.0721,1,2.2783,1.0,0,0.0819,0.0435,0.0118,2.3455,0.0,3.1373,-1.1205,6.6936,1,0.0455,2.3903,18.887,0.0,15.899,13.7099,0.7889,0.0086,5.0169,81.437,93.763,-6.237,1,0.172,0.828,0.755,1.0,0,0.0,2.3455,0,0.0,0.0,37.4507,48.2421,0.7708,0.0094,2.7259,100.0,98.2295,-1.7705,1,0.4456,0.4545,0.744,0.9002,0,1.845,2.3455,0,0.0,0.0,13.7333,27.4667,0.75,0.0046,0.1047,100.0,97.4639,-2.5361,1,0.7205,0.2049,0.7097,0.9253,0,3.5482,5.057,0,0,1,0,0,0,0,16.6726,0.6335,1,12.2878,21.7819,84,290,1,A_clean,1,0,0,0,1,10,0,0,0.0,1,0.9576,0,0.0,1.845,0
2021-10-04,11:21:00,17730.95,17723.15,17754.35,7.8,0.5869,0.0013,0.9065,-2.9709,1.2947,5.2251,2.2542,-0.0667,58.4745,65.5814,-34.4186,2.0,39.5583,29.059,21.0604,0.7667,0.1,1,1.5245,0.8667,1,0.037,0.0714,0.0166,2.3884,-0.2033,2.3884,-1.9818,5.9036,1,0.0308,1.4851,14.5637,6.8204,-6.2317,-4.774,0.5054,0.0043,2.4224,47.2924,31.1732,-68.8268,1,0.0974,0.0,0.8742,0.0974,0,0.2033,2.0581,0,0.0,0.0,9.2451,21.0836,0.5602,0.0088,2.7,70.0313,77.9121,-22.0879,0,0.7169,0.0106,0.5861,0.0106,0,0.2033,2.9982,0,0.0,0.0,-12.575,8.025,0.2963,0.0046,0.08,47.3836,70.4807,-29.5193,0,0.701,0.2754,0.8271,0.2754,0,2.9474,8.156,0,0,1,0,0,0,0,19.5474,0.6551,1,13.9322,25.3405,126,248,2,D_sl_hit,0,0,0,0,11,0,1,0,2.8288,2,0.8249,0,0.0,0.1101,0
2021-10-04,11:50:00,17700.75,17691.25,17729.25,9.5,0.5757,0.0017,1.2497,-5.597,-9.9146,6.8603,1.2633,0.3387,59.1628,70.9486,-29.0514,3.1,60.9642,30.8045,23.1311,0.8058,0.1165,1,1.7457,0.9223,1,0.0509,0.076,0.0828,3.0423,-0.1356,3.0423,-2.1355,5.9002,1,0.0256,1.8295,0.3302,8.0404,-15.766,-12.4583,0.0147,0.0035,-0.6488,24.3556,13.1424,-86.8576,0,0.0209,0.9372,0.7693,0.9372,0,-1.4237,3.0423,0,4.6378,0.0,-0.8032,-0.2405,0.4868,0.008,1.5689,66.0691,70.4807,-29.5193,1,0.308,0.3166,0.8918,0.6246,0,1.8559,3.0423,0,0.0,0.0,-12.575,8.025,0.2963,0.0046,0.08,47.3836,70.4807,-29.5193,0,0.701,0.2754,0.8271,0.2754,0,8.0675,3.0423,1,0,2,0,0,0,0,14.4402,0.4837,1,13.9402,20.2366,155,219,2,A_clean,1,0,0,0,1,8,0,0,0.0,3,0.6542,0,0.0,0.8983,0
