date,time,entry,sl,tgt_1_3,risk_pts,1m_bb_pct_b,1m_bb_width,1m_bb_lbr,1m_ema9_vs_21,1m_ema21_vs_50,1m_close_vs_ema9,1m_close_vs_ema21,1m_ema9_slope,1m_rsi14,1m_stoch_k,1m_will_r,1m_mom10,1m_adx,1m_plus_di,1m_minus_di,1m_body_ratio,1m_lwr_ratio,1m_is_bull,1m_range_vs_atr,1m_close_pos,1m_hh_hl,1m_ret1,1m_ret3,1m_ret5,1m_d5l,1m_d5h,1m_d20l,1m_d20h,1m_atr14,1m_atr_exp,1m_vol5,1m_effort,5m_ema9_vs_ema21,5m_ema21_vs_ema50,5m_close_vs_ema9,5m_ema9_slope,5m_bb_pct_b,5m_bb_width,5m_bb_lower_breach_atr,5m_rsi14,5m_stoch_k,5m_will_r,5m_is_bullish,5m_body_ratio,5m_lower_wick_ratio,5m_range_vs_atr,5m_close_pos,5m_signal_active,5m_dist_to_prev_high_atr,5m_dist_to_prev_low_atr,5m_room_to_tgt3,15m_ema9_vs_ema21,15m_ema21_vs_ema50,15m_close_vs_ema9,15m_ema9_slope,15m_bb_pct_b,15m_bb_width,15m_bb_lower_breach_atr,15m_rsi14,15m_stoch_k,15m_will_r,15m_is_bullish,15m_body_ratio,15m_lower_wick_ratio,15m_range_vs_atr,15m_close_pos,15m_signal_active,15m_dist_to_prev_high_atr,15m_dist_to_prev_low_atr,15m_room_to_tgt3,1h_ema9_vs_ema21,1h_ema21_vs_ema50,1h_close_vs_ema9,1h_ema9_slope,1h_bb_pct_b,1h_bb_width,1h_bb_lower_breach_atr,1h_rsi14,1h_stoch_k,1h_will_r,1h_is_bullish,1h_body_ratio,1h_lower_wick_ratio,1h_range_vs_atr,1h_close_pos,1h_signal_active,1h_dist_to_prev_high_atr,1h_dist_to_prev_low_atr,1h_room_to_tgt3,tf_conf,tr_align,5m15m_both,15m1h_both,all3tf_sig,all3tf_up,price_vs_open_atr,price_vs_open_pct,open30_dir,open30_rng_atr,day_range_so_far,mins_open,mins_close,session,post_pattern,post_A_clean,post_A_delay,post_B_wick,post_C_coil,bars_to_ema9,consec_above_ema9,broke_sl,broke_sl_recovered,max_dd_atr,n_small_candles,range_compress,breakout_bar,breakout_str,pts5bars_atr,label
2024-01-01,10:15:00,21712.75,21708.2,21726.4,4.55,0.3094,0.0015,0.9293,-3.1662,1.4122,0.8404,-2.3258,-1.6553,47.2521,33.6735,-66.3265,-9.95,39.9433,17.5526,25.6606,0.5478,0.2435,1,0.9309,0.7913,1,0.0143,0.0369,0.0048,1.6028,-0.1943,1.6028,-3.1571,6.1766,0,0.0186,0.9134,2.1028,0.0,-3.5404,1.4943,0.5022,0.0024,0.9586,50.3061,47.7612,-52.2388,0,0.4237,0.5763,0.5808,0.5763,0,0.3076,1.6028,0,0.0,0.0,-1.566,10.416,0.4725,0.0018,0.3175,50.3356,47.7612,-52.2388,0,0.5765,0.2313,0.8311,0.2313,0,3.1571,1.6028,1,0.0,0.0,3.2833,6.5667,0.75,0.0009,-0.5325,100.0,89.9827,-10.0173,1,0.2047,0.671,0.9527,0.8757,1,4.7275,2.8252,1,1,1,0,0,0,0,-2.4285,-0.069,0,8.6294,4.6466,60,314,1,B_wick_recover,0,0,1,0,2,0,1,1,2.0885,0,1.0394,2,1.449,1.109,0
2024-01-01,10:26:00,21705.65,21699.1,21725.3,6.55,0.3648,0.0011,0.3638,-4.0825,-2.0891,0.6765,-3.4059,-2.9802,47.5211,42.5926,-57.4074,-2.8,35.181,19.6182,27.3684,0.6433,0.1911,1,1.2044,0.8344,1,0.024,0.0175,0.0039,1.5879,-0.1994,1.5879,-2.24,6.518,0,0.0193,1.1769,1.7844,0.0,2.0545,-2.7449,0.5697,0.0022,0.6039,54.8632,53.0784,-46.9216,1,0.911,0.0,0.8277,0.911,0,1.2811,1.3041,0,0.0,0.0,1.537,8.413,0.542,0.0016,0.0416,59.8069,53.0784,-46.9216,1,0.1193,0.5885,0.7394,0.7078,0,2.1402,1.5879,0,0.0,0.0,3.2833,6.5667,0.75,0.0009,-0.5325,100.0,89.9827,-10.0173,1,0.2047,0.671,0.9527,0.8757,1,5.5692,1.5879,1,1,1,0,0,0,0,-3.3906,-0.1017,0,8.1774,3.3139,71,303,1,A_clean,1,0,0,0,1,10,0,0,0.0,1,0.7855,0,0.0,1.3578,1
2024-01-01,11:41:00,21739.35,21734.8,21753.0,4.55,0.559,0.0008,1.0481,-1.0814,2.0068,3.2876,2.2062,0.396,58.2338,52.75,-47.25,-4.15,30.0132,23.1959,21.9073,0.7257,0.0796,1,1.2007,0.8053,1,0.0212,0.043,0.0278,2.2421,-0.2338,2.2421,-2.0083,4.7055,1,0.0143,1.2528,6.4759,4.7673,-3.8356,-1.6746,0.5626,0.0023,2.1644,48.1314,51.1822,-48.8178,0,0.1062,0.1549,0.9067,0.1549,0,0.3082,2.0933,0,1.3095,0.0,3.7523,10.6389,0.6284,0.0027,1.3296,60.9046,72.8958,-27.1042,0,0.79,0.1225,0.7661,0.1225,0,2.0083,2.2421,0,0.0,0.0,0.7375,5.6625,0.5602,0.0008,0.0586,74.0602,75.1351,-24.8649,0,0.1753,0.303,0.6309,0.303,0,2.0083,2.9009,0,0,2,0,0,0,0,2.4652,0.0534,0,11.3272,11.7523,146,228,2,B_wick_recover,0,0,1,0,1,1,1,1,1.5939,1,0.8968,0,0.0,0.3082,0
2024-01-01,12:06:00,21727.15,21722.0,21742.6,5.15,0.318,0.0009,0.2192,-3.0148,-2.2888,0.3539,-2.6609,-1.9783,46.721,35.9155,-64.0845,-6.35,37.6037,17.4961,27.4798,0.7031,0.1016,1,1.2134,0.8047,0,0.0223,0.0087,0.0256,1.4503,-0.237,1.4503,-2.5879,5.2746,1,0.0123,1.2214,2.293,5.4344,-2.6584,-3.0744,0.3301,0.0012,-0.0469,46.511,31.7406,-68.2594,1,0.5355,0.346,0.9307,0.8815,0,0.5498,1.4503,0,3.4542,0.0,11.1694,4.7709,0.7829,0.0027,0.8838,71.6862,90.2703,-9.7297,1,0.3881,0.5565,0.9473,0.9446,0,3.1661,1.4503,1,0.0,0.0,6.0756,8.9744,0.8304,0.001,-0.2985,89.4307,85.2045,-14.7955,1,0.2075,0.5437,1.004,0.7512,1,4.5785,3.005,1,1,2,0,0,0,0,-0.1138,-0.0028,0,10.105,8.1712,171,203,2,B_wick_recover,0,0,1,0,3,0,1,1,0.2654,0,0.984,8,1.5451,1.3271,0
2024-01-01,13:05:00,21744.1,21739.2,21758.8,4.9,0.5352,0.0004,-0.0232,1.9158,4.489,0.9828,2.8986,0.3242,56.1424,65.1163,-34.8837,-1.0,22.5571,12.0665,21.4438,0.3504,0.4872,1,1.1859,0.8376,0,0.011,-0.0011,0.0182,1.419,-0.375,1.8447,-1.4595,4.9331,0,0.0104,1.155,4.1394,7.8795,3.9808,4.9599,0.7387,0.0015,1.8059,58.5827,76.0,-24.0,0,0.0056,0.5198,0.7933,0.5198,0,0.375,1.419,0,5.3248,0.0,4.6492,4.8063,0.6853,0.0025,1.3641,59.9297,76.1607,-23.8393,0,0.3004,0.3676,0.5196,0.3676,0,0.375,2.1893,0,0.0,0.0,20.4346,14.8321,0.9646,0.0024,0.4891,96.1236,93.6812,-6.3188,1,0.6243,0.2284,0.9287,0.8527,0,5.311,2.1893,1,0,2,0,0,0,0,3.3143,0.0752,0,10.8045,12.1728,230,144,3,B_wick_recover,0,0,1,0,10,0,1,1,1.196,1,1.0784,10,1.2365,0.2838,0
2024-01-01,13:15:00,21740.85,21737.5,21750.9,3.35,0.5067,0.0005,0.4017,-0.5893,2.2404,1.8215,1.2321,-0.0452,56.4677,59.6838,-40.3162,-3.25,35.5835,16.3575,15.4037,0.5082,0.041,1,1.2408,0.5492,1,0.0133,0.0202,0.0154,1.5357,-0.5594,1.5357,-1.312,4.9163,0,0.007,1.2298,3.5375,8.231,-0.0043,1.2303,0.6389,0.0015,1.5291,52.7038,66.625,-33.375,0,0.1923,0.5962,0.7491,0.5962,0,0.0509,1.5357,0,5.3248,0.0,4.6492,4.8063,0.6853,0.0025,1.3641,59.9297,76.1607,-23.8393,0,0.3004,0.3676,0.5196,0.3676,0,1.0374,1.5357,0,0.0,0.0,20.4346,14.8321,0.9646,0.0024,0.4891,96.1236,93.6812,-6.3188,1,0.6243,0.2284,0.9287,0.8527,0,5.9902,1.5357,1,0,2,0,0,0,0,2.6646,0.0603,0,10.8414,11.5533,240,134,3,B_wick_recover,0,0,1,0,1,2,1,1,0.1526,0,1.0638,0,0.0,0.9255,0
2024-01-01,13:45:00,21749.5,21742.55,21770.35,6.95,0.668,0.0005,0.0204,0.5748,2.8299,2.5087,3.0835,-0.6964,57.3376,68.8797,-31.1203,0.75,18.0255,16.3236,17.2212,0.6772,0.2025,1,1.4766,0.8797,0,0.0313,0.0143,-0.0014,1.5514,-0.1776,1.8037,-1.2897,5.35,1,0.018,1.6597,4.1618,9.2246,-0.3579,1.8433,0.6431,0.0017,2.2439,52.5946,58.0398,-41.9602,0,0.4011,0.1604,0.9411,0.1604,0,0.1963,1.5514,0,7.4886,0.0,4.5355,6.026,0.721,0.0027,1.8098,59.0315,77.5777,-22.4223,0,0.6447,0.0987,0.6828,0.0987,0,1.2897,1.5514,0,0.0,0.0,20.4346,14.8321,0.9646,0.0024,0.4891,96.1236,93.6812,-6.3188,1,0.6243,0.2284,0.9287,0.8527,0,3.8879,3.0281,0,0,2,0,0,0,0,4.0654,0.1001,0,9.9627,12.2337,270,104,3,A_clean,1,0,0,0,1,6,0,0,0.0,1,1.0019,5,1.514,2.3365,1
2024-01-02,10:05:00,21656.4,21651.85,21670.05,4.55,0.3098,0.0075,3.383,-21.6646,-21.4594,0.0932,-21.5714,-3.7799,38.4388,27.9832,-72.0168,-41.75,58.2871,13.8352,30.4499,0.5084,0.0,1,0.6587,0.5084,1,0.0254,0.0501,0.1072,2.2004,-0.3238,2.2004,-6.0383,13.5883,0,0.009,0.5393,-2.287,0.0,-45.4131,-32.4156,0.0753,0.0063,-0.3703,20.8134,18.9001,-81.0999,1,0.4407,0.2834,0.8838,0.724,0,0.2797,2.2004,0,0.0,0.0,-19.986,-50.164,0.3271,0.008,0.3427,32.9014,27.3044,-72.6956,1,0.5135,0.1908,0.7915,0.7043,0,1.4829,2.2004,1,0.0,0.0,-6.95,-13.9,0.25,0.0019,-0.4064,0.0,30.1575,-69.8425,0,0.1663,0.4988,0.9852,0.4988,0,1.4829,7.4145,1,0,0,0,0,0,0,-6.9876,-0.4365,0,4.1654,2.2004,50,324,1,B_wick_recover,0,0,1,0,1,4,1,1,0.368,3,0.705,0,0.0,1.4829,1
2024-01-02,10:31:00,21631.2,21611.75,21689.55,19.45,0.379,0.0036,0.8925,-13.3378,-23.8156,6.676,-6.6618,-4.462,50.8199,46.1806,-53.8194,-27.25,52.5977,23.7297,30.5388,0.802,0.1609,1,1.7624,0.9629,1,0.0768,0.0842,0.0949,2.3208,-0.0654,2.3208,-3.2762,11.4615,1,0.0423,1.6975,-20.9502,0.0,-37.6319,-31.896,0.1047,0.0085,0.4766,17.2578,3.3764,-96.6236,0,0.0055,0.1718,0.892,0.1718,0,0.0654,2.3208,0,0.0,0.0,-56.3765,-59.2725,0.1861,0.0104,0.1153,15.679,17.2293,-82.7707,0,0.2536,0.4515,1.1584,0.4515,0,0.0654,6.5917,0,0.0,0.0,-6.95,-13.9,0.25,0.0019,-0.4064,0.0,30.1575,-69.8425,0,0.1663,0.4988,0.9852,0.4988,0,3.9567,6.5917,0,0,0,0,0,0,0,-10.483,-0.5524,0,4.9383,2.3208,76,298,1,D_sl_hit,0,0,0,0,11,0,1,0,4.8947,1,1.0426,10,2.2379,-0.157,0
2024-01-02,10:42:00,21590.05,21570.45,21648.85,19.6,0.3491,0.004,0.7136,-18.3519,-31.6287,4.9188,-13.4331,-7.0649,47.5454,45.0852,-54.9148,-25.05,49.3021,20.7539,29.7245,0.8082,0.1319,1,1.4017,0.94,1,0.0633,0.0995,0.0331,2.3127,-0.084,2.3127,-4.1245,14.8746,1,0.0577,1.4893,-30.6284,0.0,-32.9324,-33.3075,0.1285,0.01,-0.1965,25.2968,18.3099,-81.6901,1,0.5789,0.2977,1.1818,0.8766,0,0.3294,2.3127,0,0.0,0.0,-56.3765,-59.2725,0.1861,0.0104,0.1153,15.679,17.2293,-82.7707,0,0.2536,0.4515,1.1584,0.4515,0,2.8169,2.3127,0,0.0,0.0,-6.95,-13.9,0.25,0.0019,-0.4064,0.0,30.1575,-69.8425,0,0.1663,0.4988,0.9852,0.4988,0,5.8153,2.3127,1,0,0,0,0,0,0,-10.844,-0.7416,0,3.8051,2.3127,87,287,1,A_clean,1,0,0,0,1,10,0,0,0.0,3,0.6017,0,0.0,0.6857,1
