feature,importance
15m_close_pos,0.084552355
1h_room_to_tgt3,0.041928347
15m_dist_to_prev_high_atr,0.03929074
1h_dist_to_prev_low_atr,0.037881285
1h_is_bullish,0.034166522
15m_is_bullish,0.033522233
1h_close_pos,0.029431554
15m_room_to_tgt3,0.028785668
1h_dist_to_prev_high_atr,0.02044689
5m_close_vs_ema9,0.015184469
15m_dist_to_prev_low_atr,0.013479169
1h_close_vs_ema9,0.012994327
5m_close_pos,0.012826628
1h_bb_pct_b,0.012728012
5m_room_to_tgt3,0.012633291
5m_dist_to_prev_high_atr,0.01166913
1m_close_vs_ema21,0.011290537
15m_close_vs_ema9,0.011014379
1m_effort,0.010718857
1m_d20l,0.010662987
15m_body_ratio,0.010458394
1m_mom10,0.009291073
5m_body_ratio,0.009114522
5m_will_r,0.009028751
1m_range_vs_atr,0.008954104
1h_will_r,0.008758558
1m_ema9_vs_21,0.008720223
1h_stoch_k,0.0086970795
1m_ret1,0.00857324
15m_lower_wick_ratio,0.008435014
1h_lower_wick_ratio,0.008377627
5m_is_bullish,0.008376654
1m_will_r,0.00833558
1m_bb_pct_b,0.008305997
5m_stoch_k,0.008302811
15m_will_r,0.008262394
tf_conf,0.008226252
1h_rsi14,0.008126298
1m_bb_lbr,0.008123405
1m_close_pos,0.00804074
mins_close,0.00799342
1m_d20h,0.007934346
5m_lower_wick_ratio,0.007905499
1h_body_ratio,0.007819304
1m_close_vs_ema9,0.0077983695
5m_ema9_vs_ema21,0.007730514
5m_bb_pct_b,0.0076423706
1m_rsi14,0.0074544703
1m_ema9_slope,0.00728973
15m_range_vs_atr,0.007258202
1m_hh_hl,0.0072553274
mins_open,0.0072006965
15m_bb_pct_b,0.0071903914
1m_bb_width,0.00712411
5m_dist_to_prev_low_atr,0.006982379
1h_range_vs_atr,0.0069509577
5m_ema9_slope,0.006933193
1m_ema21_vs_50,0.00684737
1m_d5l,0.0068092784
1m_body_ratio,0.006798793
1m_atr14,0.006795102
1m_d5h,0.0067838724
5m_range_vs_atr,0.006780708
15m_stoch_k,0.0067454963
1m_minus_di,0.0066712094
5m_rsi14,0.0066682184
5m_ema21_vs_ema50,0.006640731
price_vs_open_pct,0.006638603
open30_rng_atr,0.0066339425
1m_stoch_k,0.006625676
15m_bb_lower_breach_atr,0.006523231
1m_adx,0.0064618452
day_range_so_far,0.006402864
1h_bb_lower_breach_atr,0.006366778
5m_bb_width,0.006300623
1m_ret3,0.006231782
1m_lwr_ratio,0.0061837225
1m_atr_exp,0.006156368
15m_ema9_slope,0.006144761
1m_vol5,0.006125519
15m_ema9_vs_ema21,0.0060867933
15m_bb_width,0.0060797026
price_vs_open_atr,0.006070949
1h_ema9_slope,0.006032435
1h_bb_width,0.006007926
1m_plus_di,0.005922092
1m_ret5,0.0058728936
5m_bb_lower_breach_atr,0.0058427034
15m_rsi14,0.0054571284
tr_align,0.0041564326
open30_dir,0.0041428865
15m1h_both,0.0038122085
5m15m_both,0.0
all3tf_sig,0.0
all3tf_up,0.0
15m_ema21_vs_ema50,0.0
5m_signal_active,0.0
15m_signal_active,0.0
1h_signal_active,0.0
1h_ema9_vs_ema21,0.0
1m_is_bull,0.0
1h_ema21_vs_ema50,0.0
session,0.0
